City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Okhotsk,RU,2022-04-23 18:07:10,59.3833,143.3,17.06,96,24,4.74
68,Antofagasta,CL,2022-04-23 18:06:54,-23.65,-70.4,72.21,49,24,7.85
69,Jamestown,US,2022-04-23 18:07:10,42.097,-79.2353,68.95,42,100,8.05
70,Caravelas,BR,2022-04-23 18:06:29,-17.7125,-39.2481,85.1,62,37,8.9
71,Hobyo,SO,2022-04-23 18:07:11,5.3505,48.5268,84.07,72,49,13.71
72,Dicabisagan,PH,2022-04-23 18:07:11,17.0818,122.4157,76.86,89,20,2.91
73,Lyuban,BY,2022-04-23 18:07:12,52.7985,28.0048,43.52,98,100,2.48
74,Barrow,US,2022-04-23 18:07:12,71.2906,-156.7887,15.82,86,100,0.0
75,Ishigaki,JP,2022-04-23 18:07:12,24.3448,124.1572,78.6,87,41,14.14
76,Tuktoyaktuk,CA,2022-04-23 18:07:13,69.4541,-133.0374,20.03,90,12,12.97
77,Qaanaaq,GL,2022-04-23 18:05:37,77.484,-69.3632,4.98,80,76,5.99
78,Wielun,PL,2022-04-23 18:07:13,51.221,18.5696,47.89,71,74,2.35
79,Avarua,CK,2022-04-23 18:07:14,-21.2078,-159.775,73.45,94,75,4.61
80,Mataura,NZ,2022-04-23 18:07:14,-46.1927,168.8643,51.48,97,100,8.61
81,Pingliang,CN,2022-04-23 18:07:15,35.5392,106.6861,59.7,75,100,6.8
82,Kamenka,RU,2022-04-23 18:07:15,51.3223,42.7678,51.22,58,27,4.41
83,Kodiak,US,2022-04-23 18:07:16,57.79,-152.4072,42.31,81,100,16.11
84,Krasnogvardeyskiy,RU,2022-04-23 18:07:16,57.3793,62.3195,33.12,70,55,5.19
85,Abalak,RU,2022-04-23 18:07:16,58.1286,68.5944,24.8,77,42,1.83
86,Henties Bay,NA,2022-04-23 18:07:17,-22.116,14.2845,60.1,87,18,13.18
87,Belyy Yar,RU,2022-04-23 18:07:17,53.6039,91.3903,28.85,63,40,6.71
88,Mehamn,NO,2022-04-23 18:07:18,71.0357,27.8492,38.34,93,99,16.82
89,Neiafu,TO,2022-04-23 18:08:18,-18.65,-173.9833,75.88,94,75,5.75
90,Hobart,AU,2022-04-23 18:05:59,-42.8794,147.3294,48.06,87,92,9.22
91,Alibag,IN,2022-04-23 18:08:19,18.6411,72.8792,87.87,68,35,4.03
92,Cidreira,BR,2022-04-23 18:07:37,-30.1811,-50.2056,67.5,55,33,14.29
93,Esperance,AU,2022-04-23 18:08:19,-33.8667,121.9,58.53,88,70,11.03
94,Talnakh,RU,2022-04-23 18:08:20,69.4865,88.3972,-3.28,100,99,4.7
95,Pecos,US,2022-04-23 18:08:20,31.4229,-103.4932,82.49,14,0,11.5
